"","desired_habitat","polygon_id","transect","pin_number","data_type","species_code","scientific_name","native_non_native","functional_group","layer","new_column"
"867","Roadside buffer","5M Buffer",2,30,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"868","Roadside buffer","5M Buffer",2,31,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"869","Roadside buffer","5M Buffer",2,32,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"870","Roadside buffer","5M Buffer",2,33,"T.PI","DEIFAS","Deinandra fasciculata","Native","Annual Forb - Late Flowering","herb","herb"
"871","Roadside buffer","5M Buffer",2,34,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"872","Roadside buffer","5M Buffer",2,35,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"873","Roadside buffer","5M Buffer",2,36,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"874","Roadside buffer","5M Buffer",2,37,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"875","Roadside buffer","5M Buffer",2,38,"T.PI","ISOMEN","Isocoma menziesii","Native","Shrub - Late Flowering","shrub","shrub"
"876","Roadside buffer","5M Buffer",2,39,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"877","Roadside buffer","5M Buffer",2,40,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"878","Roadside buffer","5M Buffer",2,41,"T.PI","MALLAU","Malosma laurina","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"879","Roadside buffer","5M Buffer",2,42,"T.PI","MALLAU","Malosma laurina","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"880","Roadside buffer","5M Buffer",2,43,"T.PI","MALLAU","Malosma laurina","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"881","Roadside buffer","5M Buffer",2,44,"T.PI","MALLAU","Malosma laurina","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"882","Roadside buffer","5M Buffer",2,45,"T.PI","MALLAU","Malosma laurina","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"883","Roadside buffer","5M Buffer",2,46,"T.PI","MALLAU","Malosma laurina","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"884","Roadside buffer","5M Buffer",2,47,"T.PI","ACMGLA","Acmispon glaber","Native","Perennial Forb - Other","herb","herb"
"885","Roadside buffer","5M Buffer",2,48,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"886","Roadside buffer","5M Buffer",2,49,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"887","Roadside buffer","5M Buffer",2,50,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"888","Roadside buffer","5M Buffer",2,1,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"889","Roadside buffer","5M Buffer",2,1,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"890","Roadside buffer","5M Buffer",2,2,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"891","Roadside buffer","5M Buffer",2,3,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"892","Roadside buffer","5M Buffer",2,3,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"893","Roadside buffer","5M Buffer",2,4,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"894","Roadside buffer","5M Buffer",2,5,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"895","Roadside buffer","5M Buffer",2,5,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"896","Roadside buffer","5M Buffer",2,6,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"897","Roadside buffer","5M Buffer",2,6,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"898","Roadside buffer","5M Buffer",2,6,"T.PI","DEIFAS","Deinandra fasciculata","Native","Annual Forb - Late Flowering","herb","herb"
"899","Roadside buffer","5M Buffer",2,6,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"900","Roadside buffer","5M Buffer",2,7,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"901","Roadside buffer","5M Buffer",2,9,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"902","Roadside buffer","5M Buffer",2,10,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"903","Roadside buffer","5M Buffer",2,10,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"904","Roadside buffer","5M Buffer",2,10,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"905","Roadside buffer","5M Buffer",2,14,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"906","Roadside buffer","5M Buffer",2,16,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"907","Roadside buffer","5M Buffer",2,17,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"908","Roadside buffer","5M Buffer",2,18,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"909","Roadside buffer","5M Buffer",2,18,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"910","Roadside buffer","5M Buffer",2,18,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"911","Roadside buffer","5M Buffer",2,19,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"912","Roadside buffer","5M Buffer",2,20,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"913","Roadside buffer","5M Buffer",2,21,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"914","Roadside buffer","5M Buffer",2,25,"T.PI","BRODIA","Bromus diandrus","Non-Native","Grass",".","."
"915","Roadside buffer","5M Buffer",2,26,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"916","Roadside buffer","5M Buffer",2,27,"T.PI","DEIFAS","Deinandra fasciculata","Native","Annual Forb - Late Flowering","herb","herb"
"917","Roadside buffer","5M Buffer",2,28,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"918","Roadside buffer","5M Buffer",2,32,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"919","Roadside buffer","5M Buffer",2,33,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"920","Roadside buffer","5M Buffer",2,34,"T.PI","ISOMEN","Isocoma menziesii","Native","Shrub - Late Flowering","shrub","shrub"
"921","Roadside buffer","5M Buffer",2,35,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"922","Roadside buffer","5M Buffer",2,36,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"923","Roadside buffer","5M Buffer",2,37,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"924","Roadside buffer","5M Buffer",2,38,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"925","Roadside buffer","5M Buffer",2,38,"T.PI","MEDPOL","Medicago polymorpha","Non-Native","Forb",".","."
"926","Roadside buffer","5M Buffer",2,39,"T.PI","ISOMEN","Isocoma menziesii","Native","Shrub - Late Flowering","shrub","shrub"
"927","Roadside buffer","5M Buffer",2,40,"T.PI","CALMAC","Calystegia macrostegia","Native","Perennial Forb - Other","herb","herb"
"928","Roadside buffer","5M Buffer",2,41,"T.PI","RAFCAL","Rafinesquia californica","Native","Annual Forb - Late Flowering","herb","herb"
"929","Roadside buffer","5M Buffer",2,41,"T.PI","ISOMEN","Isocoma menziesii","Native","Shrub - Late Flowering","shrub","shrub"
"930","Roadside buffer","5M Buffer",2,41,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"931","Roadside buffer","5M Buffer",2,41,"T.PI","MELIND","Melilotus indicus","Non-Native","Forb",".","."
"932","Roadside buffer","5M Buffer",2,41,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"933","Roadside buffer","5M Buffer",2,42,"T.PI","BRODIA","Bromus diandrus","Non-Native","Grass",".","."
"934","Roadside buffer","5M Buffer",2,42,"T.PI","BRADIS","Brachypodium distachyon","Non-Native","Grass",".","."
"935","Roadside buffer","5M Buffer",2,43,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"936","Roadside buffer","5M Buffer",2,44,"T.PI","CALMAC","Calystegia macrostegia","Native","Perennial Forb - Other","herb","herb"
"937","Roadside buffer","5M Buffer",2,44,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"938","Roadside buffer","5M Buffer",2,45,"T.PI","ISOMEN","Isocoma menziesii","Native","Shrub - Late Flowering","shrub","shrub"
"939","Roadside buffer","5M Buffer",2,46,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"940","Roadside buffer","5M Buffer",2,46,"T.PI","ISOMEN","Isocoma menziesii","Native","Shrub - Late Flowering","shrub","shrub"
"941","Roadside buffer","5M Buffer",2,47,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"942","Roadside buffer","5M Buffer",2,NA,"A.Belt","OPULIT","Opuntia littoralis","Native","Shrub - Late Flowering","shrub","shrub"
"943","Roadside buffer","5M Buffer",2,NA,"A.Belt","SALCOL","Salvia columbariae","Native","Annual Forb - Other","herb","herb"
"944","Roadside buffer","5M Buffer",2,NA,"A.Belt","CROSET","Croton setigerus","Native","Annual Forb - Late Flowering","herb","herb"
"945","Roadside buffer","5M Buffer",2,NA,"A.Belt","GALAPA","Galium aparine","Native","Annual Forb - Other","herb","herb"
"946","Roadside buffer","5M Buffer",2,NA,"A.Belt","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"947","Roadside buffer","5M Buffer",2,NA,"A.Belt","MALSAX","Malacothrix saxatilis","Native","Perennial Forb - Late Flowering","herb","herb"
"948","Roadside buffer","5M Buffer",2,NA,"A.Belt","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"949","Roadside buffer","5M Buffer",2,NA,"A.Belt","FESPER","Festuca perennis","Non-Native","Grass",".","."
"950","Roadside buffer","5M Buffer",2,NA,"A.Belt","BROHUR","Bromus hordeaceus","Non-Native","Grass",".","."
"951","Roadside buffer","5M Buffer",2,NA,"A.Belt","SALTRA","Salsola tragus","Non-Native","Forb",".","."
"952","Roadside buffer","5M Buffer",2,NA,"A.Belt","LACSER","Lactuca serriola","Non-Native","Forb",".","."
"953","Roadside buffer","5M Buffer",2,NA,"A.Belt","CENMEL","Centaurea melitensis","Non-Native","Forb",".","."
"954","Roadside buffer","5M Buffer",2,NA,"A.Belt","HIRINC","Hirschfeldia incana","Non-Native","Forb",".","."
"955","Elderberry Scrubland","OW-U3",1,1,"T.PI","SALMEL","Salvia mellifera","Native","Shrub - Other","shrub","shrub"
"956","Elderberry Scrubland","OW-U3",1,2,"T.PI","SALMEL","Salvia mellifera","Native","Shrub - Other","shrub","shrub"
"957","Elderberry Scrubland","OW-U3",1,3,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"958","Elderberry Scrubland","OW-U3",1,4,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"959","Elderberry Scrubland","OW-U3",1,5,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"960","Elderberry Scrubland","OW-U3",1,6,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"961","Elderberry Scrubland","OW-U3",1,7,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"962","Elderberry Scrubland","OW-U3",1,8,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"963","Elderberry Scrubland","OW-U3",1,9,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"964","Elderberry Scrubland","OW-U3",1,10,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"965","Elderberry Scrubland","OW-U3",1,11,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"966","Elderberry Scrubland","OW-U3",1,12,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"967","Elderberry Scrubland","OW-U3",1,13,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"968","Elderberry Scrubland","OW-U3",1,14,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"969","Elderberry Scrubland","OW-U3",1,15,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"970","Elderberry Scrubland","OW-U3",1,16,"T.PI","ISOMEN","Isocoma menziesii","Native","Shrub - Late Flowering","shrub","shrub"
"971","Elderberry Scrubland","OW-U3",1,17,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"972","Elderberry Scrubland","OW-U3",1,18,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"973","Elderberry Scrubland","OW-U3",1,19,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"974","Elderberry Scrubland","OW-U3",1,20,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"975","Elderberry Scrubland","OW-U3",1,21,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"976","Elderberry Scrubland","OW-U3",1,22,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"977","Elderberry Scrubland","OW-U3",1,23,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"978","Elderberry Scrubland","OW-U3",1,24,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"979","Elderberry Scrubland","OW-U3",1,25,"T.PI","ENCCAL","Encelia californica","Native","Shrub - Other","shrub","shrub"
"980","Elderberry Scrubland","OW-U3",1,26,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"981","Elderberry Scrubland","OW-U3",1,27,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"982","Elderberry Scrubland","OW-U3",1,28,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"983","Elderberry Scrubland","OW-U3",1,29,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"984","Elderberry Scrubland","OW-U3",1,30,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"985","Elderberry Scrubland","OW-U3",1,31,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"986","Elderberry Scrubland","OW-U3",1,32,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"987","Elderberry Scrubland","OW-U3",1,33,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"988","Elderberry Scrubland","OW-U3",1,34,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"989","Elderberry Scrubland","OW-U3",1,35,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"990","Elderberry Scrubland","OW-U3",1,36,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"991","Elderberry Scrubland","OW-U3",1,37,"T.PI","SALMEL","Salvia mellifera","Native","Shrub - Other","shrub","shrub"
"992","Elderberry Scrubland","OW-U3",1,38,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"993","Elderberry Scrubland","OW-U3",1,39,"T.PI","BRANIG","Brassica nigra","Non-Native","Forb",".","."
"994","Elderberry Scrubland","OW-U3",1,40,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"995","Elderberry Scrubland","OW-U3",1,41,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"996","Elderberry Scrubland","OW-U3",1,42,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"997","Elderberry Scrubland","OW-U3",1,43,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"998","Elderberry Scrubland","OW-U3",1,44,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"999","Elderberry Scrubland","OW-U3",1,45,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"1000","Elderberry Scrubland","OW-U3",1,46,"T.PI","ACMGLA","Acmispon glaber","Native","Perennial Forb - Other","herb","herb"
"1001","Elderberry Scrubland","OW-U3",1,47,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"1002","Elderberry Scrubland","OW-U3",1,48,"T.PI","OPULIT","Opuntia littoralis","Native","Shrub - Late Flowering","shrub","shrub"
"1003","Elderberry Scrubland","OW-U3",1,49,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"1004","Elderberry Scrubland","OW-U3",1,50,"T.PI","SAMNIG","Sambucus nigra ssp. caerulea","Native","Tree","Large Shrub/Tree","Large Shrub/Tree"
"1005","Elderberry Scrubland","OW-U3",1,4,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"1006","Elderberry Scrubland","OW-U3",1,7,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"1007","Elderberry Scrubland","OW-U3",1,8,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"1008","Elderberry Scrubland","OW-U3",1,9,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"1009","Elderberry Scrubland","OW-U3",1,10,"T.PI","EUCCHR","Eucrypta chrysanthemifolia","Native","Annual Forb - Other","herb","herb"
"1010","Elderberry Scrubland","OW-U3",1,11,"T.PI","SALMEL","Salvia mellifera","Native","Shrub - Other","shrub","shrub"
"1011","Elderberry Scrubland","OW-U3",1,12,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"1012","Elderberry Scrubland","OW-U3",1,14,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"1013","Elderberry Scrubland","OW-U3",1,16,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"1014","Elderberry Scrubland","OW-U3",1,18,"T.PI","ENCCAL","Encelia californica","Native","Shrub - Other","shrub","shrub"
"1015","Elderberry Scrubland","OW-U3",1,19,"T.PI","ENCCAL","Encelia californica","Native","Shrub - Other","shrub","shrub"
"1016","Elderberry Scrubland","OW-U3",1,20,"T.PI","ISOMEN","Isocoma menziesii","Native","Shrub - Late Flowering","shrub","shrub"
"1017","Elderberry Scrubland","OW-U3",1,24,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"1018","Elderberry Scrubland","OW-U3",1,26,"T.PI","HELANN","Helianthus annuus","Native","Annual Forb - Late Flowering","herb","herb"
"1019","Elderberry Scrubland","OW-U3",1,29,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"1020","Elderberry Scrubland","OW-U3",1,30,"T.PI","ENCCAL","Encelia californica","Native","Shrub - Other","shrub","shrub"
"1021","Elderberry Scrubland","OW-U3",1,30,"T.PI","CENMEL","Centaurea melitensis","Non-Native","Forb",".","."
"1022","Elderberry Scrubland","OW-U3",1,38,"T.PI","SALMEL","Salvia mellifera","Native","Shrub - Other","shrub","shrub"
"1023","Elderberry Scrubland","OW-U3",1,39,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"1024","Elderberry Scrubland","OW-U3",1,39,"T.PI","PHAPAR","Phacelia parryi","Native","Annual Forb - Other","herb","herb"
"1025","Elderberry Scrubland","OW-U3",1,41,"T.PI","CENMEL","Centaurea melitensis","Non-Native","Forb",".","."
"1026","Elderberry Scrubland","OW-U3",1,42,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"1027","Elderberry Scrubland","OW-U3",1,45,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"1028","Elderberry Scrubland","OW-U3",1,46,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"1029","Elderberry Scrubland","OW-U3",1,48,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"1030","Elderberry Scrubland","OW-U3",1,48,"T.PI","ENCCAL","Encelia californica","Native","Shrub - Other","shrub","shrub"
"1031","Elderberry Scrubland","OW-U3",1,49,"T.PI","PHAPAR","Phacelia parryi","Native","Annual Forb - Other","herb","herb"
"1032","Elderberry Scrubland","OW-U3",1,50,"T.PI","OPULIT","Opuntia littoralis","Native","Shrub - Late Flowering","shrub","shrub"
"1033","Elderberry Scrubland","OW-U3",1,50,"T.PI","ENCCAL","Encelia californica","Native","Shrub - Other","shrub","shrub"
"1034","Elderberry Scrubland","OW-U3",1,NA,"A.Belt","EUPPOL","Euphorbia peplus","Non-Native","Forb",".","."
"1035","Elderberry Scrubland","OW-U3",1,NA,"A.Belt","CHAGLA","Chaenactis glabriuscula","Native","Annual Forb - Other","herb","herb"
"1036","Elderberry Scrubland","OW-U3",1,NA,"A.Belt","MARMAC","Marah macrocarpa","Native","Perennial Forb - Other","herb","herb"
"1037","Elderberry Scrubland","OW-U3",1,NA,"A.Belt","PSEBIC","Pseudognaphalium bicolor","Native","Perennial Forb - Other","herb","herb"
"1038","Elderberry Scrubland","OW-U3",1,NA,"A.Belt","NICQUA","Nicotiana quadrivalvis","Native","Annual Forb - Late Flowering","herb","herb"
"1039","Elderberry Scrubland","OW-U3",1,NA,"A.Belt","MIRLAE","Mirabilis laevis","Native","Perennial Forb - Other","herb","herb"
"1040","Elderberry Scrubland","OW-U3",1,NA,"A.Belt","LYSARV","Lysimachia arvensis","Non-Native","Forb",".","."
"1041","Elderberry Scrubland","OW-U3",1,NA,"A.Belt","MARVUL","Marrubium vulgare","Non-Native","Forb",".","."
"1042","Elderberry Scrubland","OW-U3",1,NA,"A.Belt","NICGLA","Nicotiana glauca","Non-Native","Shrub",".","."
"1043","Elderberry Scrubland","OW-U3",1,NA,"A.Belt","HELECH","Helminthotheca echioides","Non-Native","Forb",".","."
"1044","Elderberry Scrubland","OW-U3",1,NA,"A.Belt","SCHBAR","Schismus barbatus","Non-Native","Grass",".","."
"1045","Elderberry Scrubland","OW-U3",1,NA,"A.Belt","HIRINC","Hirschfeldia incana","Non-Native","Forb",".","."
"1046","Mulefat Scrub","OW-U1",1,1,"T.PI","SAMNIG","Sambucus nigra ssp. caerulea","Native","Tree","Large Shrub/Tree","Large Shrub/Tree"
"1047","Mulefat Scrub","OW-U1",1,2,"T.PI","SAMNIG","Sambucus nigra ssp. caerulea","Native","Tree","Large Shrub/Tree","Large Shrub/Tree"
"1048","Mulefat Scrub","OW-U1",1,3,"T.PI","SAMNIG","Sambucus nigra ssp. caerulea","Native","Tree","Large Shrub/Tree","Large Shrub/Tree"
"1049","Mulefat Scrub","OW-U1",1,4,"T.PI","SAMNIG","Sambucus nigra ssp. caerulea","Native","Tree","Large Shrub/Tree","Large Shrub/Tree"
"1050","Mulefat Scrub","OW-U1",1,5,"T.PI","SAMNIG","Sambucus nigra ssp. caerulea","Native","Tree","Large Shrub/Tree","Large Shrub/Tree"
"1051","Mulefat Scrub","OW-U1",1,6,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"1052","Mulefat Scrub","OW-U1",1,7,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"1053","Mulefat Scrub","OW-U1",1,8,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"1054","Mulefat Scrub","OW-U1",1,9,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"1055","Mulefat Scrub","OW-U1",1,10,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"1056","Mulefat Scrub","OW-U1",1,11,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"1057","Mulefat Scrub","OW-U1",1,12,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"1058","Mulefat Scrub","OW-U1",1,13,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"1059","Mulefat Scrub","OW-U1",1,14,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"1060","Mulefat Scrub","OW-U1",1,15,"T.PI","ACMGLA","Acmispon glaber","Native","Perennial Forb - Other","herb","herb"
"1061","Mulefat Scrub","OW-U1",1,16,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"1062","Mulefat Scrub","OW-U1",1,17,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"1063","Mulefat Scrub","OW-U1",1,18,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"1064","Mulefat Scrub","OW-U1",1,19,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"1065","Mulefat Scrub","OW-U1",1,20,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"1066","Mulefat Scrub","OW-U1",1,21,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"1067","Mulefat Scrub","OW-U1",1,22,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"1068","Mulefat Scrub","OW-U1",1,23,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"1069","Mulefat Scrub","OW-U1",1,24,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"1070","Mulefat Scrub","OW-U1",1,25,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"1071","Mulefat Scrub","OW-U1",1,26,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"1072","Mulefat Scrub","OW-U1",1,27,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"1073","Mulefat Scrub","OW-U1",1,28,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"1074","Mulefat Scrub","OW-U1",1,29,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
